#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            1     IPN
#  2002.442000     SED
#     0.003000     X
#     0.002000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.048875     TPBIN
#           21     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.692397     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
 -0.0244 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 -0.0733 0.3457E-01 0.1849E+00 0.5994E+04 0.9017E+05 0.3184E+00
 -0.1222 0.5901E-01 0.2408E+00 0.1488E+04 0.2210E+05 0.2196E+00
 -0.1711 0.8345E-01 0.2854E+00 0.5612E+03 0.8227E+04 0.1623E+00
 -0.2199 0.1079E+00 0.3235E+00 0.2635E+03 0.3815E+04 0.1260E+00
 -0.2688 0.1323E+00 0.3571E+00 0.1420E+03 0.2030E+04 0.1014E+00
 -0.3177 0.1568E+00 0.3875E+00 0.8410E+02 0.1189E+04 0.8389E-01
 -0.3666 0.1812E+00 0.4154E+00 0.5344E+02 0.7464E+03 0.7097E-01
 -0.4154 0.2056E+00 0.4412E+00 0.3583E+02 0.4948E+03 0.6111E-01
 -0.4643 0.2301E+00 0.4653E+00 0.2507E+02 0.3424E+03 0.5341E-01
 -0.5132 0.2545E+00 0.4880E+00 0.1816E+02 0.2453E+03 0.4726E-01
 -0.5621 0.2789E+00 0.5094E+00 0.1354E+02 0.1809E+03 0.4226E-01
 -0.6109 0.3034E+00 0.5298E+00 0.1034E+02 0.1368E+03 0.3814E-01
 -0.6598 0.3278E+00 0.5492E+00 0.8061E+01 0.1056E+03 0.3469E-01
 -0.7087 0.3523E+00 0.5678E+00 0.6399E+01 0.8296E+02 0.3176E-01
 -0.7576 0.3767E+00 0.5856E+00 0.5160E+01 0.6624E+02 0.2927E-01
 -0.8064 0.4011E+00 0.6027E+00 0.4218E+01 0.5363E+02 0.2711E-01
 -0.8553 0.4256E+00 0.6192E+00 0.3490E+01 0.4396E+02 0.2523E-01
 -0.9042 0.4500E+00 0.6351E+00 0.2919E+01 0.3643E+02 0.2359E-01
 -0.9531 0.4744E+00 0.6504E+00 0.2466E+01 0.3049E+02 0.2214E-01
 -1.0019 0.4989E+00 0.6653E+00 0.2101E+01 0.2575E+02 0.2085E-01
